"Period","Year","Month","Oil Type","Volume (m3/d)","Volume (bbl/d)"
"06/01/1985","1985","June","Light","28019.093333","176320.147616320000"
"06/01/1985","1985","June","Medium","14596.950000","91856.518986150000"
"06/01/1985","1985","June","Heavy","22124.423333","139225.832244130000"
"06/01/1985","1985","June","Total","64740.466666","407402.498846600000"
"07/01/1985","1985","July","Light","25181.764516","158465.243107674193"
"07/01/1985","1985","July","Medium","12667.226451","79713.044646617419"
"07/01/1985","1985","July","Heavy","20639.435483","129881.016060725806"
"07/01/1985","1985","July","Total","58488.426451","368059.303815017419"
"08/01/1985","1985","August","Light","31195.951612","196311.662478919354"
"08/01/1985","1985","August","Medium","13946.651612","87764.284228819354"
"08/01/1985","1985","August","Heavy","17240.583870","108492.528896506451"
"08/01/1985","1985","August","Total","62383.187096","392568.475604245161"
"09/01/1985","1985","September","Light","41596.321333","261759.701876716000"
"09/01/1985","1985","September","Medium","18018.463333","113387.613116410000"
"09/01/1985","1985","September","Heavy","25019.556666","157444.492306730000"
"09/01/1985","1985","September","Total","84634.341333","532591.807299856000"
"10/01/1985","1985","October","Light","35071.761290","220701.578538135483"
"10/01/1985","1985","October","Medium","15736.416129","99027.016392493548"
"10/01/1985","1985","October","Heavy","28400.754838","178721.888892058064"
"10/01/1985","1985","October","Total","79208.932258","498450.483822687096"
"11/01/1985","1985","November","Light","25616.566666","161201.390864300000"
"11/01/1985","1985","November","Medium","16315.653333","102672.073288240000"
"11/01/1985","1985","November","Heavy","34908.580000","219674.702013060000"
"11/01/1985","1985","November","Total","76840.800000","483548.166165600000"
"12/01/1985","1985","December","Light","36205.298258","227834.764580349096"
"12/01/1985","1985","December","Medium","14527.932258","91422.200205687096"
"12/01/1985","1985","December","Heavy","35328.425806","222316.731635109677"
"12/01/1985","1985","December","Total","86061.656322","541573.696421145870"
"01/01/1986","1986","January","Light","31213.480645","196421.970172267741"
"01/01/1986","1986","January","Medium","14442.509677","90884.648121116129"
"01/01/1986","1986","January","Heavy","37515.690322","236080.874456283870"
"01/01/1986","1986","January","Total","83171.680645","523387.492749667741"
"02/01/1986","1986","February","Light","30106.250000","189454.326056250000"
"02/01/1986","1986","February","Medium","15673.025000","98628.105082425000"
"02/01/1986","1986","February","Heavy","32747.564285","206075.739148307142"
"02/01/1986","1986","February","Total","78526.839285","494158.170286982142"
"03/01/1986","1986","March","Light","35863.009677","225680.791489616129"
"03/01/1986","1986","March","Medium","14902.635483","93780.154023125806"
"03/01/1986","1986","March","Heavy","33236.358064","209151.648500796774"
"03/01/1986","1986","March","Total","84002.003225","528612.594013538709"
"04/01/1986","1986","April","Light","56339.746666","354537.969189560000"
"04/01/1986","1986","April","Medium","21227.623333","133582.398086530000"
"04/01/1986","1986","April","Heavy","26464.280000","166535.929647960000"
"04/01/1986","1986","April","Total","104031.650000","654656.296924050000"
"05/01/1986","1986","May","Light","50832.661290","319882.668429435483"
"05/01/1986","1986","May","Medium","20730.032258","130451.128605387096"
"05/01/1986","1986","May","Heavy","32784.851612","206310.382966219354"
"05/01/1986","1986","May","Total","104347.545161","656644.180001041935"
"06/01/1986","1986","June","Light","42486.416666","267360.944525750000"
"06/01/1986","1986","June","Medium","16698.966666","105084.209281100000"
"06/01/1986","1986","June","Heavy","31490.193333","198163.283549020000"
"06/01/1986","1986","June","Total","90675.576666","570608.437355870000"
"07/01/1986","1986","July","Light","40932.441935","257582.003760803225"
"07/01/1986","1986","July","Medium","18011.019354","113340.769224232258"
"07/01/1986","1986","July","Heavy","32168.335483","202430.735128025806"
"07/01/1986","1986","July","Total","91111.796774","573353.508113061290"
"08/01/1986","1986","August","Light","45091.564516","283754.767406274193"
"08/01/1986","1986","August","Medium","17408.045161","109546.338849541935"
"08/01/1986","1986","August","Heavy","31985.054838","201277.376237158064"
"08/01/1986","1986","August","Total","94484.664516","594578.482492974193"
"09/01/1986","1986","September","Light","38645.063333","243187.857312610000"
"09/01/1986","1986","September","Medium","18776.326666","118156.738698620000"
"09/01/1986","1986","September","Heavy","35384.573333","222670.059992680000"
"09/01/1986","1986","September","Total","92805.963333","584014.656003910000"
"10/01/1986","1986","October","Light","42068.093548","264728.496962622580"
"10/01/1986","1986","October","Medium","17960.932258","113025.578286687096"
"10/01/1986","1986","October","Heavy","39236.822580","246911.713634370967"
"10/01/1986","1986","October","Total","99265.848387","624665.788883680645"
"11/01/1986","1986","November","Light","42674.190000","268542.575260830000"
"11/01/1986","1986","November","Medium","17937.053333","112875.311628040000"
"11/01/1986","1986","November","Heavy","39320.600000","247438.912954200000"
"11/01/1986","1986","November","Total","99931.843333","628856.799843070000"
"12/01/1986","1986","December","Light","38674.370967","243372.286064951612"
"12/01/1986","1986","December","Medium","18176.658064","114383.109937896774"
"12/01/1986","1986","December","Heavy","34906.122580","219659.237824470967"
"12/01/1986","1986","December","Total","91757.151612","577414.633827319354"
"01/01/1987","1987","January","Light","37117.616129","233575.850480893548"
"01/01/1987","1987","January","Medium","15972.361290","100511.785552335483"
"01/01/1987","1987","January","Heavy","38645.277419","243189.204525329032"
"01/01/1987","1987","January","Total","91735.254838","577276.840558558064"
"02/01/1987","1987","February","Light","36068.875000","226976.272525875000"
"02/01/1987","1987","February","Medium","18681.671428","117561.086820985714"
"02/01/1987","1987","February","Heavy","35762.567857","225048.725477796428"
"02/01/1987","1987","February","Total","90513.114285","569586.084824657142"
"03/01/1987","1987","March","Light","32029.270967","201555.622014251612"
"03/01/1987","1987","March","Medium","17118.235483","107722.607992325806"
