"Period","Year","Month","Oil Type","Volume (m3/d)","Volume (bbl/d)"
"06/01/1987","1987","June","Total","111823.293333","703687.994215720000"
"07/01/1987","1987","July","Light","48968.206451","308149.920746477419"
"07/01/1987","1987","July","Medium","17209.158064","108294.770790396774"
"07/01/1987","1987","July","Heavy","38788.732258","244091.945311287096"
"07/01/1987","1987","July","Total","104966.096774","660536.636848161290"
"08/01/1987","1987","August","Light","47972.712903","301885.422202054838"
"08/01/1987","1987","August","Medium","16242.051612","102208.908186619354"
"08/01/1987","1987","August","Heavy","34521.506451","217238.903524577419"
"08/01/1987","1987","August","Total","98736.270967","621333.233913251612"
"09/01/1987","1987","September","Light","45847.893333","288514.236497920000"
"09/01/1987","1987","September","Medium","13942.393333","87737.487484420000"
"09/01/1987","1987","September","Heavy","38627.546666","243077.627434160000"
"09/01/1987","1987","September","Total","98417.833333","619329.351416500000"
"10/01/1987","1987","October","Light","49102.296774","308993.731971561290"
"10/01/1987","1987","October","Medium","19652.364516","123669.519611874193"
"10/01/1987","1987","October","Heavy","34896.596774","219599.293286661290"
"10/01/1987","1987","October","Total","103651.258064","652262.544870096774"
"11/01/1987","1987","November","Light","43474.476666","273578.664813170000"
"11/01/1987","1987","November","Medium","17570.646666","110569.566870860000"
"11/01/1987","1987","November","Heavy","38574.106666","242741.337156080000"
"11/01/1987","1987","November","Total","99619.230000","626889.568840110000"
"12/01/1987","1987","December","Light","38569.706451","242713.647231977419"
"12/01/1987","1987","December","Medium","19060.570967","119945.447438351612"
"12/01/1987","1987","December","Heavy","34878.690322","219486.610547283870"
"12/01/1987","1987","December","Total","92508.967741","582145.705217612903"
"01/01/1988","1988","January","Light","42451.503225","267141.239235038709"
"01/01/1988","1988","January","Medium","20349.116129","128054.077876393548"
"01/01/1988","1988","January","Heavy","45424.283870","285848.522727406451"
"01/01/1988","1988","January","Total","108224.903225","681043.839838838709"
"02/01/1988","1988","February","Light","48060.084827","302435.241227869655"
"02/01/1988","1988","February","Medium","21896.492413","137791.495561584827"
"02/01/1988","1988","February","Heavy","41633.393103","261992.989224786206"
"02/01/1988","1988","February","Total","111589.970344","702219.726014240689"
"03/01/1988","1988","March","Light","50948.532258","320611.827859887096"
"03/01/1988","1988","March","Medium","21123.061290","132924.404102235483"
"03/01/1988","1988","March","Heavy","43035.677419","270817.363898129032"
"03/01/1988","1988","March","Total","115107.270967","724353.595860251612"
"04/01/1988","1988","April","Light","51558.890000","324452.721848730000"
"04/01/1988","1988","April","Medium","21703.443333","136576.665304270000"
"04/01/1988","1988","April","Heavy","43462.746666","273504.849600560000"
"04/01/1988","1988","April","Total","116725.080000","734534.236753560000"
"05/01/1988","1988","May","Light","53450.464516","336356.129783574193"
"05/01/1988","1988","May","Medium","22698.319354","142837.277840332258"
"05/01/1988","1988","May","Heavy","44194.251612","278108.105622019354"
"05/01/1988","1988","May","Total","120343.035483","757301.513245925806"
"06/01/1988","1988","June","Light","53855.390000","338904.267949230000"
"06/01/1988","1988","June","Medium","23025.146666","144893.955377360000"
"06/01/1988","1988","June","Heavy","43294.000000","272442.950958000000"
"06/01/1988","1988","June","Total","120174.536666","756241.174284590000"
"07/01/1988","1988","July","Light","48762.438709","306855.053771264516"
"07/01/1988","1988","July","Medium","22925.151612","144264.700803319354"
"07/01/1988","1988","July","Heavy","40617.812903","255602.088252754838"
"07/01/1988","1988","July","Total","112305.403225","706721.842827338709"
"08/01/1988","1988","August","Light","48409.967741","304637.004374612903"
"08/01/1988","1988","August","Medium","21941.119354","138072.326519932258"
"08/01/1988","1988","August","Heavy","41565.625806","261566.539315509677"
"08/01/1988","1988","August","Total","111916.712903","704275.870210054838"
"09/01/1988","1988","September","Light","46403.883333","292013.002061350000"
"09/01/1988","1988","September","Medium","21304.250000","134064.598742250000"
"09/01/1988","1988","September","Heavy","37646.076666","236901.377074370000"
"09/01/1988","1988","September","Total","105354.210000","662978.977877970000"
"10/01/1988","1988","October","Light","48355.654838","304295.221041358064"
"10/01/1988","1988","October","Medium","19576.770967","123193.820221751612"
"10/01/1988","1988","October","Heavy","38172.600000","240214.713118200000"
"10/01/1988","1988","October","Total","106105.025806","667703.754381309677"
"11/01/1988","1988","November","Light","57479.000000","361707.127503000000"
"11/01/1988","1988","November","Medium","20385.726666","128284.462754420000"
"11/01/1988","1988","November","Heavy","36272.506666","228257.697484880000"
"11/01/1988","1988","November","Total","114137.233333","718249.287742300000"
"12/01/1988","1988","December","Light","54114.987096","340537.875356845161"
"12/01/1988","1988","December","Medium","19210.683870","120890.086472206451"
"12/01/1988","1988","December","Heavy","38121.919354","239895.787065532258"
"12/01/1988","1988","December","Total","111447.590322","701323.748894583870"
"01/01/1989","1989","January","Light","51963.151612","326996.682369319354"
"01/01/1989","1989","January","Medium","19947.767741","125528.449869212903"
"01/01/1989","1989","January","Heavy","34862.661290","219385.742139435483"
"01/01/1989","1989","January","Total","106773.580645","671910.874377967741"
"02/01/1989","1989","February","Light","49631.196428","312322.021863910714"
"02/01/1989","1989","February","Medium","19886.085714","125140.293689742857"
"02/01/1989","1989","February","Heavy","36015.692857","226641.604905921428"
"02/01/1989","1989","February","Total","105532.975000","664103.920459575000"
"03/01/1989","1989","March","Light","47696.503225","300147.274200038709"
"03/01/1989","1989","March","Medium","20493.251612","128961.101865019354"
"03/01/1989","1989","March","Heavy","36875.277419","232050.847635329032"
"03/01/1989","1989","March","Total","105065.032258","661159.223700387096"
"04/01/1989","1989","April","Light","42153.013333","265262.885025760000"
"04/01/1989","1989","April","Medium","20665.903333","130047.574452490000"
"04/01/1989","1989","April","Heavy","34134.426666","214803.065790320000"
"04/01/1989","1989","April","Total","96953.343333","610113.525268570000"
"05/01/1989","1989","May","Light","48754.674193","306806.192781590322"
"05/01/1989","1989","May","Medium","20658.054838","129998.184998158064"
"05/01/1989","1989","May","Heavy","37090.132258","233402.898411087096"
"05/01/1989","1989","May","Total","106502.861290","670207.276190835483"
"06/01/1989","1989","June","Light","52124.790000","328013.849625030000"
"06/01/1989","1989","June","Medium","23857.803333","150133.744710790000"
"06/01/1989","1989","June","Heavy","32601.206666","205154.731580780000"
"06/01/1989","1989","June","Total","108583.800000","683302.325916600000"
"07/01/1989","1989","July","Light","43978.896774","276752.908417761290"
"07/01/1989","1989","July","Medium","18841.812903","118568.834220754838"
"07/01/1989","1989","July","Heavy","29939.403225","188404.383165338709"
"07/01/1989","1989","July","Total","92760.112903","583726.125803854838"
"08/01/1989","1989","August","Light","42727.112903","268875.611522854838"
"08/01/1989","1989","August","Medium","24133.719354","151870.044778132258"
"08/01/1989","1989","August","Heavy","34002.635483","213973.722723125806"
"08/01/1989","1989","August","Total","100863.467741","634719.379024112903"
"09/01/1989","1989","September","Light","56330.033333","354476.844571900000"
"09/01/1989","1989","September","Medium","19758.533333","124337.624796400000"
"09/01/1989","1989","September","Heavy","34530.926666","217298.183590820000"
"09/01/1989","1989","September","Total","110619.493333","696112.652959120000"
"10/01/1989","1989","October","Light","42425.858064","266979.857902296774"
"10/01/1989","1989","October","Medium","22075.029032","138915.000970848387"
"10/01/1989","1989","October","Heavy","32317.548387","203369.710590580645"
"10/01/1989","1989","October","Total","96818.435483","609264.569463725806"
"11/01/1989","1989","November","Light","41818.793333","263159.686359220000"
"11/01/1989","1989","November","Medium","24766.116666","155849.630628650000"
"11/01/1989","1989","November","Heavy","30886.606666","194364.998968580000"
"11/01/1989","1989","November","Total","97471.516666","613374.315956450000"
"12/01/1989","1989","December","Light","46396.206451","291964.692542477419"
"12/01/1989","1989","December","Medium","21692.806451","136509.728928677419"
"12/01/1989","1989","December","Heavy","38737.883870","243771.963682606451"
"12/01/1989","1989","December","Total","106826.896774","672246.385153761290"
"01/01/1990","1990","January","Light","41174.667741","259106.296122512903"
"01/01/1990","1990","January","Medium","23933.580645","150610.600497967741"
"01/01/1990","1990","January","Heavy","31228.658064","196517.479501896774"
"01/01/1990","1990","January","Total","96336.906451","606234.376122377419"
"02/01/1990","1990","February","Light","33821.671428","212834.941800985714"
"02/01/1990","1990","February","Medium","24163.942857","152060.236956171428"
"02/01/1990","1990","February","Heavy","36804.996428","231608.579410510714"
"02/01/1990","1990","February","Total","94790.610714","596503.758167667857"
"03/01/1990","1990","March","Light","31764.813225","199891.427261708709"
"03/01/1990","1990","March","Medium","25669.277419","161533.092093329032"
"03/01/1990","1990","March","Heavy","41529.451612","261338.900288419354"
"03/01/1990","1990","March","Total","98963.542258","622763.419643457096"
"04/01/1990","1990","April","Light","44075.853333","277363.042179640000"
"04/01/1990","1990","April","Medium","25159.983333","158328.177239050000"
"04/01/1990","1990","April","Heavy","27522.606666","173195.828020580000"
"04/01/1990","1990","April","Total","96758.443333","608887.047439270000"
"05/01/1990","1990","May","Light","52806.803225","332305.661327138709"
"05/01/1990","1990","May","Medium","22015.180645","138538.383629167741"
"05/01/1990","1990","May","Heavy","33937.909677","213566.412478916129"
"05/01/1990","1990","May","Total","108759.893548","684410.457435222580"
"06/01/1990","1990","June","Light","46968.726666","295567.480385420000"
"06/01/1990","1990","June","Medium","26674.596666","167859.422356010000"
"06/01/1990","1990","June","Heavy","36377.680000","228919.538231760000"
"06/01/1990","1990","June","Total","110021.003333","692346.440973190000"
"07/01/1990","1990","July","Light","43427.480645","273282.925570267741"
"07/01/1990","1990","July","Medium","24665.000000","155213.317905000000"
"07/01/1990","1990","July","Heavy","35607.119354","224070.510281932258"
"07/01/1990","1990","July","Total","103699.600000","652566.753757200000"
"08/01/1990","1990","August","Light","50796.558064","319655.475992196774"
"08/01/1990","1990","August","Medium","25867.283870","162779.118378406451"
"08/01/1990","1990","August","Heavy","30261.441935","190430.926713803225"
"08/01/1990","1990","August","Total","106925.283870","672865.521084406451"
"09/01/1990","1990","September","Light","48131.436666","302884.248147890000"
"09/01/1990","1990","September","Medium","24058.960000","151399.594848720000"
"09/01/1990","1990","September","Heavy","32873.773333","206869.954637080000"
"09/01/1990","1990","September","Total","105064.170000","661153.797633690000"
"10/01/1990","1990","October","Light","46175.358064","290574.925223796774"
"10/01/1990","1990","October","Medium","23537.880645","148120.516983067741"
"10/01/1990","1990","October","Heavy","29909.745161","188217.749206441935"
"10/01/1990","1990","October","Total","99622.983870","626913.191413306451"
"11/01/1990","1990","November","Light","47288.213333","297577.964292160000"
"11/01/1990","1990","November","Medium","27876.323333","175421.716422430000"
"11/01/1990","1990","November","Heavy","37008.473333","232889.030474980000"
"11/01/1990","1990","November","Total","112173.010000","705888.711189570000"
"12/01/1990","1990","December","Light","50503.770967","317813.008660751612"
"12/01/1990","1990","December","Medium","28588.196774","179901.434187861290"
"12/01/1990","1990","December","Heavy","37429.945161","235541.292417841935"
"12/01/1990","1990","December","Total","116521.912903","733255.735266454838"
"01/01/1991","1991","January","Light","61383.141935","386275.334410703225"
"01/01/1991","1991","January","Medium","25386.948387","159756.435866380645"
"01/01/1991","1991","January","Heavy","40759.351612","256492.771112719354"
"01/01/1991","1991","January","Total","127529.441935","802524.541389803225"
"02/01/1991","1991","February","Light","72046.117857","453375.917080146428"
"02/01/1991","1991","February","Medium","29980.382142","188662.257630353571"
"02/01/1991","1991","February","Heavy","42679.621428","268576.754464135714"
"02/01/1991","1991","February","Total","144706.121428","910614.929174635714"
"03/01/1991","1991","March","Light","63313.186129","398420.826524383548"
"03/01/1991","1991","March","Medium","24456.561290","153901.642911735483"
"03/01/1991","1991","March","Heavy","34978.764516","220116.363136674193"
"03/01/1991","1991","March","Total","122748.511935","772438.832572793225"
"04/01/1991","1991","April","Light","65916.250000","414801.535226250000"
"04/01/1991","1991","April","Medium","23511.990000","147957.590855430000"
"04/01/1991","1991","April","Heavy","35410.253333","222831.660560440000"
"04/01/1991","1991","April","Total","124838.493333","785590.786642120000"
"05/01/1991","1991","May","Light","64169.487096","403809.406063345161"
"05/01/1991","1991","May","Medium","28932.141935","182065.831903703225"
"05/01/1991","1991","May","Heavy","31231.361290","196534.490515335483"
"05/01/1991","1991","May","Total","124332.990322","782409.728482383870"
"06/01/1991","1991","June","Light","55198.216666","347354.484138350000"
"06/01/1991","1991","June","Medium","23376.080000","147102.328660560000"
"06/01/1991","1991","June","Heavy","34358.419333","216212.619610702000"
"06/01/1991","1991","June","Total","112932.716000","710669.432409612000"
"07/01/1991","1991","July","Light","52540.961290","330632.756042535483"
"07/01/1991","1991","July","Medium","21680.638709","136433.159068664516"
"07/01/1991","1991","July","Heavy","27229.800000","171353.237538600000"
"07/01/1991","1991","July","Total","101451.400000","638419.152649800000"
"08/01/1991","1991","August","Light","58089.403225","365548.307715338709"
"08/01/1991","1991","August","Medium","26757.161290","168378.989725935483"
"08/01/1991","1991","August","Heavy","32859.061290","206777.373854235483"
"08/01/1991","1991","August","Total","117705.625806","740704.671295509677"
"09/01/1991","1991","September","Light","60519.923333","380843.223187630000"
"09/01/1991","1991","September","Medium","21879.650000","137685.508660050000"
"09/01/1991","1991","September","Heavy","36803.386666","231598.449409040000"
"09/01/1991","1991","September","Total","119202.960000","750127.181256720000"
"10/01/1991","1991","October","Light","58256.893548","366602.300364222580"
"10/01/1991","1991","October","Medium","18919.148387","119055.495361780645"
"10/01/1991","1991","October","Heavy","33495.590322","210782.960030583870"
"10/01/1991","1991","October","Total","110671.632258","696440.755756587096"
"11/01/1991","1991","November","Light","63817.190000","401592.450811830000"
"11/01/1991","1991","November","Medium","29312.840000","184461.510383880000"
"11/01/1991","1991","November","Heavy","32039.646666","201620.914803860000"
"11/01/1991","1991","November","Total","125169.676666","787674.875999570000"
"12/01/1991","1991","December","Light","73580.206451","463029.717230477419"
"12/01/1991","1991","December","Medium","26247.258064","165170.241642096774"
"12/01/1991","1991","December","Heavy","33464.648387","210588.246855280645"
"12/01/1991","1991","December","Total","133292.112903","838788.205727854838"
"01/01/1992","1992","January","Light","73363.396774","461665.364934261290"
"01/01/1992","1992","January","Medium","30216.851612","190150.326190219354"
"01/01/1992","1992","January","Heavy","33580.429032","211316.837898648387"
"01/01/1992","1992","January","Total","137160.677419","863132.529023129032"
"02/01/1992","1992","February","Light","82446.065517","518821.300512631034"
"02/01/1992","1992","February","Medium","28227.410344","177631.056780320689"
"02/01/1992","1992","February","Heavy","25756.386206","162081.255236772413"
"02/01/1992","1992","February","Total","136429.862068","858533.612529724137"
"03/01/1992","1992","March","Light","79041.064516","497394.116127774193"
"03/01/1992","1992","March","Medium","26724.361290","168172.584016335483"
"03/01/1992","1992","March","Heavy","29687.474193","186819.029791190322"
"03/01/1992","1992","March","Total","135452.900000","852385.729935300000"
"04/01/1992","1992","April","Light","82904.960000","521709.057870720000"
"04/01/1992","1992","April","Medium","25105.766666","157986.999508700000"
"04/01/1992","1992","April","Heavy","33294.180000","209515.513672260000"
"04/01/1992","1992","April","Total","141304.906666","889211.571051680000"
"05/01/1992","1992","May","Light","71470.003225","449750.510089538709"
"05/01/1992","1992","May","Medium","24949.338709","157002.620744564516"
"05/01/1992","1992","May","Heavy","33279.012903","209420.069301154838"
"05/01/1992","1992","May","Total","129698.354838","816173.200135258064"
"06/01/1992","1992","June","Light","65715.726666","413539.670564420000"
"06/01/1992","1992","June","Medium","19650.970000","123660.744121290000"
"06/01/1992","1992","June","Heavy","29550.120000","185954.679492840000"
"06/01/1992","1992","June","Total","114916.816666","723155.094178550000"
"07/01/1992","1992","July","Light","70715.800000","445004.417040600000"
"07/01/1992","1992","July","Medium","25231.287096","158776.881625945161"
"07/01/1992","1992","July","Heavy","41043.687096","258282.053652745161"
"07/01/1992","1992","July","Total","136990.774193","862063.352319290322"
"08/01/1992","1992","August","Light","73836.261290","464641.033714635483"
"08/01/1992","1992","August","Medium","23806.877419","149813.275216529032"
"08/01/1992","1992","August","Heavy","34112.438709","214664.698721264516"
"08/01/1992","1992","August","Total","131755.577419","829119.007652429032"
"09/01/1992","1992","September","Light","78368.193333","493159.833995020000"
"09/01/1992","1992","September","Medium","28681.706666","180489.878569280000"
"09/01/1992","1992","September","Heavy","31422.603333","197737.949344390000"
"09/01/1992","1992","September","Total","138472.503333","871387.661908690000"
"10/01/1992","1992","October","Light","73656.435483","463509.415629725806"
"10/01/1992","1992","October","Medium","23981.167741","150910.059293012903"
"10/01/1992","1992","October","Heavy","33883.770967","213225.725320751612"
"10/01/1992","1992","October","Total","131521.374193","827645.200243490322"
"11/01/1992","1992","November","Light","79300.300000","499025.447957100000"
"11/01/1992","1992","November","Medium","24364.000000","153319.167948000000"
"11/01/1992","1992","November","Heavy","30783.726666","193717.589840420000"
"11/01/1992","1992","November","Total","134448.026666","846062.205745520000"
"12/01/1992","1992","December","Light","79490.483870","500222.247860806451"
"12/01/1992","1992","December","Medium","26089.235483","164175.828139325806"
"12/01/1992","1992","December","Heavy","33694.367741","212033.837905412903"
"12/01/1992","1992","December","Total","139274.087096","876431.913905545161"
"01/01/1993","1993","January","Light","79331.929032","499224.484934148387"
"01/01/1993","1993","January","Medium","23830.241935","149960.304775403225"
"01/01/1993","1993","January","Heavy","31519.380645","198346.955128567741"
"01/01/1993","1993","January","Total","134681.551612","847531.744838119354"
"02/01/1993","1993","February","Light","79402.350000","499667.634013950000"
"02/01/1993","1993","February","Medium","22612.496428","142297.206438010714"
"02/01/1993","1993","February","Heavy","33558.557142","211179.201226328571"
"02/01/1993","1993","February","Total","135573.403571","853144.041678289285"
"03/01/1993","1993","March","Light","72006.483870","453126.506072806451"
"03/01/1993","1993","March","Medium","22512.090322","141665.365171083870"
"03/01/1993","1993","March","Heavy","36955.454838","232555.392669958064"
"03/01/1993","1993","March","Total","131474.029032","827347.263913848387"
"04/01/1993","1993","April","Light","81600.943333","513503.067461770000"
"04/01/1993","1993","April","Medium","21065.550000","132562.493776350000"
"04/01/1993","1993","April","Heavy","28145.380000","177114.851550660000"
"04/01/1993","1993","April","Total","130811.873333","823180.412788780000"
"05/01/1993","1993","May","Light","87562.735483","551019.772928825806"
"05/01/1993","1993","May","Medium","22558.406451","141956.825947877419"
"05/01/1993","1993","May","Heavy","33640.983870","211697.900839306451"
"05/01/1993","1993","May","Total","143762.125806","904674.499716009677"
"06/01/1993","1993","June","Light","81857.300000","515116.283306100000"
"06/01/1993","1993","June","Medium","26096.006666","164218.438224380000"
"06/01/1993","1993","June","Heavy","38413.510000","241730.725298070000"
"06/01/1993","1993","June","Total","146366.816666","921065.446828550000"
"07/01/1993","1993","July","Light","89767.935483","564896.781185225806"
"07/01/1993","1993","July","Medium","27347.641935","172094.799987203225"
"07/01/1993","1993","July","Heavy","40903.825806","257401.926552909677"
"07/01/1993","1993","July","Total","158019.403225","994393.507725338709"
"08/01/1993","1993","August","Light","88154.887096","554746.098351145161"
"08/01/1993","1993","August","Medium","26861.316129","169034.421231793548"
"08/01/1993","1993","August","Heavy","39325.841935","247471.899704603225"
"08/01/1993","1993","August","Total","154342.045161","971252.419287541935"
"09/01/1993","1993","September","Light","89380.043333","562455.831350470000"
"09/01/1993","1993","September","Medium","28012.833333","176280.754331500000"
"09/01/1993","1993","September","Heavy","37358.973333","235094.676853480000"
"09/01/1993","1993","September","Total","154751.850000","973831.262535450000"
"10/01/1993","1993","October","Light","94433.616129","594257.242292893548"
"10/01/1993","1993","October","Medium","27460.458064","172804.735754496774"
"10/01/1993","1993","October","Heavy","37768.593548","237672.358291122580"
"10/01/1993","1993","October","Total","159662.667741","1004734.336338512903"
"11/01/1993","1993","November","Light","92189.960000","580138.235115720000"
"11/01/1993","1993","November","Medium","23786.863333","149687.329435210000"
"11/01/1993","1993","November","Heavy","39532.673333","248773.460114380000"
"11/01/1993","1993","November","Total","155509.496666","978599.024665310000"
"12/01/1993","1993","December","Light","88719.319354","558297.989837332258"
"12/01/1993","1993","December","Medium","25970.516129","163428.744216193548"
"12/01/1993","1993","December","Heavy","40262.425806","253365.688073109677"
"12/01/1993","1993","December","Total","154952.261290","975092.422126635483"
"01/01/1994","1994","January","Light","89776.970967","564953.640193151612"
"01/01/1994","1994","January","Medium","23493.129032","147838.901482548387"
"01/01/1994","1994","January","Heavy","39324.335483","247462.419820025806"
"01/01/1994","1994","January","Total","152594.435483","960254.961495725806"
"02/01/1994","1994","February","Light","94137.682142","592394.972036453571"
"02/01/1994","1994","February","Medium","24826.650000","156230.558239050000"
"02/01/1994","1994","February","Heavy","35519.596428","223519.741022710714"
"02/01/1994","1994","February","Total","154483.928571","972145.271298214285"
"03/01/1994","1994","March","Light","83287.948387","524119.149023380645"
"03/01/1994","1994","March","Medium","28244.190322","177736.650780783870"
"03/01/1994","1994","March","Heavy","39485.767741","248478.289935212903"
"03/01/1994","1994","March","Total","151017.906451","950334.089739377419"
"04/01/1994","1994","April","Light","84481.920000","531632.641645440000"
"04/01/1994","1994","April","Medium","26237.433333","165108.416013700000"
"04/01/1994","1994","April","Heavy","43448.686666","273416.372031140000"
"04/01/1994","1994","April","Total","154168.040000","970157.429690280000"
"05/01/1994","1994","May","Light","74389.158064","468120.334050396774"
"05/01/1994","1994","May","Medium","30026.703225","188953.749581438709"
"05/01/1994","1994","May","Heavy","42550.554838","267764.556870658064"
"05/01/1994","1994","May","Total","146966.416129","924838.640502493548"
"06/01/1994","1994","June","Light","78659.990000","494996.068691430000"
"06/01/1994","1994","June","Medium","27786.006666","174853.366554380000"
"06/01/1994","1994","June","Heavy","47385.980000","298193.195944860000"
"06/01/1994","1994","June","Total","153831.976666","968042.631190670000"
"07/01/1994","1994","July","Light","93614.519354","589102.783423732258"
