,Date,death_cnt,hosp_cnt,ill_cnt
425,2020-09-11,3,7,178
629,2020-09-12,2,8,130
479,2020-09-13,1,5,135
89,2020-09-14,3,10,216
543,2020-09-15,1,4,204
156,2020-09-16,2,5,190
304,2020-09-17,1,3,141
243,2020-09-18,2,9,162
434,2020-09-19,4,13,149
303,2020-09-20,2,5,181
132,2020-09-21,0,12,231
666,2020-09-22,0,8,201
267,2020-09-23,4,14,179
182,2020-09-24,3,8,157
126,2020-09-25,4,10,160
657,2020-09-26,2,7,163
395,2020-09-27,1,6,166
342,2020-09-28,1,12,205
320,2020-09-29,2,7,206
209,2020-09-30,1,9,188
16,2020-10-01,2,13,190
219,2020-10-02,1,2,218
130,2020-10-03,2,10,189
503,2020-10-04,1,7,193
98,2020-10-05,0,7,267
223,2020-10-06,2,8,261
502,2020-10-07,1,7,243
134,2020-10-08,2,9,199
196,2020-10-09,3,11,217
632,2020-10-10,2,11,205
106,2020-10-11,4,10,213
308,2020-10-12,1,14,300
370,2020-10-13,2,11,289
179,2020-10-14,1,14,281
220,2020-10-15,2,8,231
18,2020-10-16,2,8,238
151,2020-10-17,2,13,224
215,2020-10-18,3,8,251
172,2020-10-19,2,10,355
297,2020-10-20,4,16,373
270,2020-10-21,3,11,340
472,2020-10-22,2,12,291
135,2020-10-23,1,14,300
583,2020-10-24,1,10,292
194,2020-10-25,3,12,287
117,2020-10-26,5,17,407
31,2020-10-27,5,20,412
532,2020-10-28,1,6,404
449,2020-10-29,1,8,313
626,2020-10-30,2,9,324
458,2020-10-31,0,8,286
195,2020-11-01,2,16,350
42,2020-11-02,3,15,436
534,2020-11-03,2,12,449
180,2020-11-04,6,23,437
450,2020-11-05,4,18,379
430,2020-11-06,4,11,368
456,2020-11-07,2,11,333
24,2020-11-08,6,20,337
405,2020-11-09,4,23,456
282,2020-11-10,4,19,406
152,2020-11-11,2,14,393
47,2020-11-12,3,10,334
293,2020-11-13,4,22,367
234,2020-11-14,2,15,302
114,2020-11-15,1,16,279
125,2020-11-16,6,26,424
222,2020-11-17,15,34,378
181,2020-11-18,6,11,350
602,2020-11-19,6,14,276
101,2020-11-20,3,6,283
193,2020-11-21,6,17,271
446,2020-11-22,3,11,261
147,2020-11-23,3,21,358
477,2020-11-24,3,15,309
334,2020-11-25,5,15,347
256,2020-11-26,3,14,253
354,2020-11-27,6,19,357
372,2020-11-28,5,14,301
21,2020-11-29,5,12,368
271,2020-11-30,8,17,435
383,2020-12-01,8,31,412
164,2020-12-02,6,16,397
315,2020-12-03,4,16,309
74,2020-12-04,6,17,328
260,2020-12-05,6,19,302
288,2020-12-06,5,14,256
295,2020-12-07,6,24,368
257,2020-12-08,10,14,332
190,2020-12-09,4,18,298
558,2020-12-10,5,15,293
187,2020-12-11,6,19,295
294,2020-12-12,4,8,253
58,2020-12-13,3,7,234
228,2020-12-14,7,22,353
429,2020-12-15,2,17,325
390,2020-12-16,5,14,244
200,2020-12-17,4,10,241
227,2020-12-18,7,21,265
388,2020-12-19,8,12,216
507,2020-12-20,7,11,223
216,2020-12-21,3,14,293
309,2020-12-22,7,15,270
595,2020-12-23,3,14,255
104,2020-12-24,10,25,250
131,2020-12-25,6,19,227
6,2020-12-26,5,17,297
258,2020-12-27,5,21,320
250,2020-12-28,7,16,367
335,2020-12-29,6,12,312
3,2020-12-30,11,27,325
248,2020-12-31,4,14,283
123,2021-01-01,6,18,309
261,2021-01-02,3,8,326
245,2021-01-03,9,21,365
325,2021-01-04,6,13,416
574,2021-01-05,3,21,353
54,2021-01-06,6,18,310
120,2021-01-07,3,10,275
175,2021-01-08,5,14,264
119,2021-01-09,4,11,212
438,2021-01-10,2,13,202
140,2021-01-11,2,20,302
85,2021-01-12,11,20,243
570,2021-01-13,7,16,256
437,2021-01-14,3,18,196
699,2021-01-15,4,15,232
296,2021-01-16,5,16,230
802,2021-01-17,3,9,221
69,2021-01-18,4,19,233
225,2021-01-19,4,19,243
56,2021-01-20,6,17,220
167,2021-01-21,6,17,217
461,2021-01-22,3,12,208
620,2021-01-23,2,10,189
86,2021-01-24,5,15,190
61,2021-01-25,3,11,237
378,2021-01-26,1,11,206
12,2021-01-27,5,14,215
57,2021-01-28,4,9,184
7,2021-01-29,3,14,202
463,2021-01-30,2,4,157
22,2021-01-31,1,5,175
635,2021-02-01,5,15,224
710,2021-02-02,2,6,173
485,2021-02-03,4,10,184
262,2021-02-04,5,8,179
95,2021-02-05,1,8,141
768,2021-02-06,2,7,116
165,2021-02-07,0,5,116
191,2021-02-08,2,11,196
17,2021-02-09,3,8,165
83,2021-02-10,4,8,166
410,2021-02-11,1,4,150
603,2021-02-12,3,9,142
755,2021-02-13,0,6,126
522,2021-02-14,1,7,107
509,2021-02-15,0,8,145
688,2021-02-16,1,8,153
199,2021-02-17,1,7,151
588,2021-02-18,0,5,140
704,2021-02-19,1,6,123
273,2021-02-20,1,5,93
832,2021-02-21,1,7,94
338,2021-02-22,3,11,132
860,2021-02-23,3,4,130
333,2021-02-24,2,10,134
847,2021-02-25,2,4,104
115,2021-02-26,4,9,96
204,2021-02-27,0,10,94
275,2021-02-28,1,7,92
62,2021-03-01,4,7,140
854,2021-03-02,0,3,120
93,2021-03-03,0,4,111
875,2021-03-04,1,5,110
214,2021-03-05,1,7,89
959,2021-03-06,0,3,72
646,2021-03-07,1,10,107
645,2021-03-08,1,5,107
601,2021-03-09,0,5,123
701,2021-03-10,1,5,131
637,2021-03-11,0,4,108
902,2021-03-12,1,5,133
427,2021-03-13,0,5,83
742,2021-03-14,3,7,97
766,2021-03-15,0,5,127
35,2021-03-16,2,6,128
240,2021-03-17,0,6,136
863,2021-03-18,4,10,104
556,2021-03-19,2,4,108
613,2021-03-20,1,6,92
787,2021-03-21,0,4,96
591,2021-03-22,1,8,148
600,2021-03-23,1,7,135
549,2021-03-24,3,7,154
900,2021-03-25,1,8,146
859,2021-03-26,0,5,127
903,2021-03-27,0,4,116
366,2021-03-28,3,12,123
581,2021-03-29,3,7,154
148,2021-03-30,0,5,109
569,2021-03-31,1,6,138
122,2021-04-01,1,7,125
128,2021-04-02,0,6,102
103,2021-04-03,0,4,93
614,2021-04-04,2,10,121
584,2021-04-05,1,10,190
892,2021-04-06,1,8,176
356,2021-04-07,2,9,134
649,2021-04-08,0,9,143
475,2021-04-09,1,7,149
318,2021-04-10,1,7,131
129,2021-04-11,2,14,106
693,2021-04-12,0,6,137
810,2021-04-13,0,6,138
698,2021-04-14,1,12,123
45,2021-04-15,3,10,111
380,2021-04-16,3,8,116
301,2021-04-17,2,9,103
738,2021-04-18,2,10,95
389,2021-04-19,0,7,135
820,2021-04-20,3,8,110
346,2021-04-21,2,10,101
523,2021-04-22,0,2,111
723,2021-04-23,1,8,90
531,2021-04-24,3,11,82
889,2021-04-25,1,13,97
674,2021-04-26,2,11,134
75,2021-04-27,0,8,100
171,2021-04-28,1,12,113
967,2021-04-29,0,6,104
491,2021-04-30,1,9,104
836,2021-05-01,0,6,99
656,2021-05-02,1,7,102
779,2021-05-03,1,8,95
993,2021-05-04,1,8,92
317,2021-05-05,2,13,90
529,2021-05-06,1,3,82
885,2021-05-07,1,3,75
90,2021-05-08,1,10,66
970,2021-05-09,0,4,54
801,2021-05-10,0,3,108
695,2021-05-11,0,4,106
218,2021-05-12,3,11,91
236,2021-05-13,0,4,65
954,2021-05-14,1,6,70
1045,2021-05-15,1,3,49
379,2021-05-16,1,6,61
753,2021-05-17,1,12,93
428,2021-05-18,1,5,71
661,2021-05-19,1,9,71
474,2021-05-20,0,6,48
826,2021-05-21,0,2,36
979,2021-05-22,1,3,42
230,2021-05-23,0,2,33
691,2021-05-24,1,3,55
973,2021-05-25,0,6,42
895,2021-05-26,0,7,49
327,2021-05-27,1,5,47
926,2021-05-28,0,1,42
1080,2021-05-29,1,3,34
53,2021-05-30,1,1,27
759,2021-05-31,1,3,42
658,2021-06-01,0,7,53
831,2021-06-02,0,3,31
337,2021-06-03,0,4,32
94,2021-06-04,1,2,31
770,2021-06-05,0,5,33
861,2021-06-06,0,1,25
933,2021-06-07,0,1,39
806,2021-06-08,0,1,19
769,2021-06-09,1,3,27
1059,2021-06-10,0,2,25
486,2021-06-11,0,6,40
1062,2021-06-12,0,5,34
1005,2021-06-13,1,4,27
1143,2021-06-14,0,3,37
352,2021-06-15,0,4,33
521,2021-06-16,0,1,39
862,2021-06-17,0,2,25
1044,2021-06-18,1,3,17
912,2021-06-19,0,1,26
745,2021-06-20,1,3,42
1008,2021-06-21,1,2,27
951,2021-06-22,1,4,36
849,2021-06-23,0,3,34
917,2021-06-24,1,2,34
778,2021-06-25,1,3,32
487,2021-06-26,1,3,27
1071,2021-06-27,0,1,25
886,2021-06-28,0,1,46
133,2021-06-29,0,7,45
1002,2021-06-30,0,1,38
423,2021-07-01,2,4,31
965,2021-07-02,1,4,46
499,2021-07-03,1,3,56
1021,2021-07-04,0,3,50
489,2021-07-05,0,5,63
775,2021-07-06,0,1,62
880,2021-07-07,1,4,74
210,2021-07-08,2,4,66
609,2021-07-09,1,4,62
825,2021-07-10,1,5,57
292,2021-07-11,2,3,77
510,2021-07-12,1,5,100
25,2021-07-13,1,7,101
326,2021-07-14,0,3,90
206,2021-07-15,3,9,88
664,2021-07-16,1,9,88
201,2021-07-17,1,6,80
340,2021-07-18,1,1,87
476,2021-07-19,3,9,128
638,2021-07-20,3,10,127
696,2021-07-21,1,7,104
841,2021-07-22,1,7,106
887,2021-07-23,1,8,102
392,2021-07-24,2,7,105
654,2021-07-25,4,7,117
414,2021-07-26,2,9,154
212,2021-07-27,4,11,137
81,2021-07-28,1,8,122
492,2021-07-29,2,14,139
830,2021-07-30,2,5,108
616,2021-07-31,1,6,107
213,2021-08-01,2,7,108
312,2021-08-02,2,7,148
197,2021-08-03,5,12,152
361,2021-08-04,0,4,132
750,2021-08-05,3,13,129
32,2021-08-06,3,14,138
382,2021-08-07,3,12,116
772,2021-08-08,4,19,145
675,2021-08-09,4,10,147
565,2021-08-10,5,15,150
221,2021-08-11,4,17,147
678,2021-08-12,0,10,129
105,2021-08-13,2,8,127
367,2021-08-14,3,14,116
636,2021-08-15,5,11,118
828,2021-08-16,1,11,163
359,2021-08-17,5,11,147
48,2021-08-18,2,12,154
505,2021-08-19,4,11,134
508,2021-08-20,0,8,160
281,2021-08-21,3,11,138
46,2021-08-22,1,8,137
386,2021-08-23,0,8,188
92,2021-08-24,3,10,184
79,2021-08-25,4,17,167
627,2021-08-26,4,15,140
305,2021-08-27,2,10,135
561,2021-08-28,3,15,133
667,2021-08-29,3,9,118
776,2021-08-30,2,13,151
298,2021-08-31,1,7,153
102,2021-09-01,4,21,138
568,2021-09-02,0,10,115
154,2021-09-03,0,9,111
493,2021-09-04,1,10,96
639,2021-09-05,3,12,101
419,2021-09-06,3,14,117
987,2021-09-07,4,15,130
401,2021-09-08,5,7,109
682,2021-09-09,2,9,123
127,2021-09-10,2,7,145
189,2021-09-11,2,9,79
178,2021-09-12,5,11,99
173,2021-09-13,1,7,129
527,2021-09-14,3,11,128
500,2021-09-15,1,6,110
80,2021-09-16,6,11,109
744,2021-09-17,2,10,108
655,2021-09-18,4,18,106
82,2021-09-19,1,2,83
672,2021-09-20,2,9,143
524,2021-09-21,1,3,87
237,2021-09-22,2,9,85
767,2021-09-23,1,7,86
571,2021-09-24,0,7,91
157,2021-09-25,4,8,80
720,2021-09-26,3,6,69
43,2021-09-27,2,7,110
13,2021-09-28,1,7,104
226,2021-09-29,0,3,85
347,2021-09-30,0,7,94
435,2021-10-01,5,12,103
284,2021-10-02,0,7,87
404,2021-10-03,0,5,88
19,2021-10-04,2,16,145
265,2021-10-05,2,10,110
37,2021-10-06,2,9,96
310,2021-10-07,2,4,94
777,2021-10-08,2,6,112
324,2021-10-09,2,6,73
482,2021-10-10,0,4,79
478,2021-10-11,2,6,116
280,2021-10-12,0,4,95
467,2021-10-13,2,5,103
514,2021-10-14,2,5,101
540,2021-10-15,2,9,99
640,2021-10-16,0,4,65
188,2021-10-17,2,6,105
520,2021-10-18,3,6,128
36,2021-10-19,1,6,112
451,2021-10-20,2,8,103
402,2021-10-21,3,7,97
496,2021-10-22,0,3,94
71,2021-10-23,1,6,87
269,2021-10-24,1,10,88
276,2021-10-25,3,9,116
